,VarDb,VarQuery,cRMSE,combinations,ddP,ddP_abs,euclidian,manhattan,pearson,spearman,indexDdPStd,sumDdPStd,indexRMSSEStd,rankRMSSEStd,rankRMSSEMean,rankRMSSEMedian,indexPeaStd,rankPeaStd,indexEuclStd,rankEuclStd,indexManStd,rankManStd,indexSpeStd,indexSpeCum,rankSpeStd,indexSpeStdAUC,rankSpeStdAUC,indexddP_absStdAUC,rankddP_absStdAUC
341,0.036856,0.02608,0.0597996655509,"(2, 43)",0.092,0.092,1.27710610366,2.84,0.957317512033,0.974679434481,0,,0,,,,2727,0.613302423092,231,0.553450368457,348,0.594761409263,2718,,,2736,0.612542914893,341,0.0551137049003
340,0.02608,0.036856,0.0597996655509,"(43, 2)",-0.092,0.092,1.27710610366,2.84,0.957317512033,0.974679434481,1,,1,,,,2726,0.613412331957,230,0.554613844677,351,0.592242540918,2719,,,2735,0.612652322584,340,0.0549684841426
944,0.057264,0.0414,0.0845221864365,"(47, 23)",0.256,0.256,0.518652099196,1.08,0.939820696464,1.0,3,0.0123612604428,3,0.192353840617,0.0,0.0,2701,0.615292729404,22,0.341143767264,24,0.370455857559,2748,,,2738,0.612342508106,944,0.146069819682
945,0.0414,0.057264,0.0845221864365,"(23, 47)",-0.256,0.256,0.518652099196,1.08,0.939820696464,1.0,2,0.0116543081108,2,0.142148592051,-0.0853333333333,-0.092,2700,0.615386898686,23,0.338200137985,25,0.366852307318,2749,,,2739,0.612250297082,945,0.14622991541
1634,0.1696,0.172184,0.0868562030024,"(28, 44)",0.484,0.484,4.10554503081,9.17,0.977955529675,0.974679434481,5,0.0122415816477,5,0.320549528154,0.0,0.0,2748,0.612203078426,1718,0.640964917477,1811,0.642463000026,2730,,,2726,0.613453213472,1634,0.26720233743
1635,0.172184,0.1696,0.0868562030024,"(44, 28)",-0.484,0.484,4.10554503081,9.17,0.977955529675,0.974679434481,4,0.0125216929529,4,0.25899992278,-0.0968,-0.092,2749,0.612161364348,1719,0.640884889711,1810,0.642539649204,2732,,,2724,0.613602534295,1635,0.267388712769
872,0.014344,0.02608,0.0913454979734,"(2, 29)",0.236,0.236,5.78160877265,12.92,0.829307192785,0.9,6,0.0123870648055,6,0.3080471737,0.0337142857143,0.092,2571,0.619970362508,2272,0.632907577406,2305,0.630549679665,2654,,,2697,0.61571929548,872,0.134422562103
871,0.02608,0.014344,0.0913454979734,"(29, 2)",-0.236,0.236,5.78160877265,12.92,0.829307192785,0.9,7,0.0122743578855,7,0.301642172118,0.0,0.0,2570,0.6200734459,2273,0.632787762052,2304,0.630667278694,2655,,,2688,0.614750313814,871,0.134262238265
195,0.0958,0.083896,0.0945304183848,"(27, 51)",0.058,0.058,3.49912846292,7.81,0.952363557059,1.0,9,0.0123060716444,8,0.284974506116,0.00644444444444,0.058,2716,0.614339389764,1451,0.635005346933,1599,0.63841815842,2750,,,2744,0.611794554088,195,0.0333338095204
194,0.083896,0.0958,0.0945304183848,"(51, 27)",-0.058,0.058,3.49912846292,7.81,0.952363557059,1.0,8,0.012369359562,9,0.271040956315,0.0,0.0,2717,0.614227374112,1450,0.635222299569,1595,0.639011665022,2738,,,2752,0.611867065242,194,0.0331587284961
410,0.080376,0.1024,0.0966229786334,"(37, 12)",0.112,0.112,2.84355411413,6.34,0.955885989688,0.974679434481,11,0.0122655695363,11,0.251614784939,0.0,0.0,2722,0.613856079109,1132,0.622615685702,1276,0.640091905366,2729,,,2721,0.613870445718,410,0.065337482104
411,0.1024,0.080376,0.0966229786334,"(12, 37)",-0.112,0.112,2.84355411413,6.34,0.955885989688,0.974679434481,10,0.0123328333133,10,0.260425462441,-0.0101818181818,-0.058,2723,0.613747146202,1133,0.622349998218,1275,0.640334991389,2727,,,2737,0.612434786856,411,0.0654915691602
552,0.036856,0.014344,0.0981019877474,"(29, 43)",-0.144,0.144,4.51324716806,10.08,0.904114574586,0.974679434481,12,0.0122452852462,12,0.244770052699,-0.0110769230769,-0.058,2663,0.616850423072,1881,0.637604066645,1985,0.640179736217,2735,,,2720,0.61397948303,552,0.0859734862059
554,0.014344,0.036856,0.0981019877474,"(43, 29)",0.144,0.144,4.51324716806,10.08,0.904114574586,0.974679434481,13,0.0121676480978,13,0.239223744641,0.0,0.0,2662,0.616959918024,1880,0.637764882363,1984,0.64033280923,2736,,,2719,0.614086129413,554,0.0862527047529
168,0.0414,0.042136,0.0994786409236,"(22, 47)",-0.052,0.052,1.96249840764,4.36,0.881570321332,0.7,15,0.0120627634748,15,0.224527281193,0.0,0.0,2636,0.618814416549,597,0.561781114018,794,0.601733149447,2438,,,2358,0.617674090568,168,0.0285632279017
169,0.042136,0.0414,0.0994786409236,"(47, 22)",0.052,0.052,1.96249840764,4.36,0.881570321332,0.7,14,0.0121352336098,14,0.231475806271,0.00346666666667,0.052,2637,0.618697945559,596,0.562247386002,795,0.601357885566,2437,,,2353,0.61791909512,169,0.0287586304182
151,0.020584,0.029696,0.100119928086,"(30, 0)",0.044,0.044,0.414487635521,0.78,0.814116880643,0.8,16,0.0119963080734,16,0.218069351846,0.00258823529412,0.044,2546,0.621381130483,4,0.255056385923,6,0.217522224996,2522,,,2563,0.619801102058,151,0.0255291371203
150,0.029696,0.020584,0.100119928086,"(0, 30)",-0.044,0.044,0.414487635521,0.78,0.814116880643,0.8,17,0.0119062912919,17,0.212193831725,0.0,0.0,2547,0.621259795194,5,0.233663575824,7,0.204151904228,2528,,,2560,0.620013922861,150,0.0253603406823
1363,0.083896,0.08924,0.100677703589,"(5, 27)",0.392,0.392,1.13608978518,2.49,0.941905212821,0.8,18,0.0118246268375,18,0.224317493634,0.0206315789474,0.044,2705,0.614941597044,170,0.5259701667,245,0.584991168024,2557,,,2528,0.621181699536,1363,0.217368951318
1361,0.08924,0.083896,0.100677703589,"(27, 5)",-0.392,0.392,1.13608978518,2.49,0.941905212821,0.8,19,0.0117282962589,19,0.236410659658,0.0,0.0,2704,0.615009054588,171,0.525295000175,244,0.585646396065,2567,,,2518,0.620920697939,1361,0.217008449579
1090,0.067144,0.083896,0.105565145763,"(27, 25)",0.304,0.304,3.30440614937,7.37,0.931968146175,0.9,21,0.0119201235743,20,0.239624233421,0.0144761904762,0.044,2691,0.61593591309,1361,0.631132953267,1497,0.640186096108,2642,,,2700,0.615412269659,1090,0.169730825049
1092,0.083896,0.067144,0.105565145763,"(25, 27)",-0.304,0.304,3.30440614937,7.37,0.931968146175,0.9,20,0.011847118383,21,0.243332171023,0.0,0.0,2690,0.616022461928,1360,0.631310957786,1496,0.640351649732,2640,,,2702,0.61535801631,1092,0.170073347955
610,0.036856,0.042136,0.107703296143,"(22, 43)",0.16,0.16,0.45,0.85,0.855061982128,0.71818484646,23,0.0121605800195,23,0.237507192874,0.0,0.0,2607,0.618911718037,8,0.198935934845,8,0.198935934845,2484,,,2478,0.622500172347,610,0.094175569068
611,0.042136,0.036856,0.107703296143,"(43, 22)",-0.16,0.16,0.45,0.85,0.855061982128,0.71818484646,22,0.0120627672549,22,0.240209958571,-0.00695652173913,-0.044,2606,0.619022473936,9,0.196118331627,9,0.196118331627,2478,,,2483,0.622119642045,611,0.0943209650313
884,0.08924,0.042136,0.108148046677,"(22, 5)",-0.242,0.242,0.473392015142,0.91,0.975854684773,0.9,24,0.0122431689636,24,0.237491342158,-0.00968,-0.044,2744,0.612475129762,11,0.204481458002,14,0.185385316451,2611,,,2678,0.614755441023,884,0.136389976875
885,0.042136,0.08924,0.108148046677,"(5, 22)",0.242,0.242,0.473392015142,0.91,0.975854684773,0.9,25,0.0122950819982,25,0.237855806352,0.0,0.0,2745,0.612381018067,10,0.199513954855,15,0.190063147401,2608,,,2681,0.614540897898,885,0.136555498107
